iso3c,country,short_country,status,wesp_region,wesp_subregion,country_code,region,sub_region,intermediate_region,LDC,LLDC
AFG,Afghanistan,Afghanistan,DVG,Asia,South Asia,004,Asia,Southern Asia,NA,0,0
ALB,Albania,Albania,EIT,South-Eastern Europe,NA,008,Europe,Southern Europe,NA,0,0
DZA,Algeria,Algeria,DVG,Africa,North Africa,012,Africa,Northern Africa,NA,0,0
AGO,Angola,Angola,DVG,Africa,Southern Africa,024,Africa,Sub-Saharan Africa,Middle Africa,0,0
ARG,Argentina,Argentina,DVG,Latin America and the Caribbean,South America,032,Americas,Latin America and the Caribbean,South America,0,0
ARM,Armenia,Armenia,EIT,Commonwealth of Independent States and Georgia,NA,051,Asia,Western Asia,NA,0,0
AUS,Australia,Australia,DVD,Developed Asia and the Pacific,NA,036,Oceania,Australia and New Zealand,NA,0,0
AUT,Austria,Austria,DVD,Europe,European Union,040,Europe,Western Europe,NA,0,0
AZE,Azerbaijan,Azerbaijan,EIT,Commonwealth of Independent States and Georgia,NA,031,Asia,Western Asia,NA,0,0
BHS,Bahamas,Bahamas,DVG,Latin America and the Caribbean,Caribbean,044,Americas,Latin America and the Caribbean,Caribbean,0,0
BHR,Bahrain,Bahrain,DVG,Asia,Western Asia,048,Asia,Western Asia,NA,0,0
BGD,Bangladesh,Bangladesh,DVG,Asia,South Asia,050,Asia,Southern Asia,NA,0,0
BRB,Barbados,Barbados,DVG,Latin America and the Caribbean,Caribbean,052,Americas,Latin America and the Caribbean,Caribbean,0,0
BLR,Belarus,Belarus,EIT,Commonwealth of Independent States and Georgia,NA,112,Europe,Eastern Europe,NA,0,0
BEL,Belgium,Belgium,DVD,Europe,European Union,056,Europe,Western Europe,NA,0,0
BLZ,Belize,Belize,DVG,Latin America and the Caribbean,Caribbean,084,Americas,Latin America and the Caribbean,Central America,0,0
BEN,Benin,Benin,DVG,Africa,West Africa,204,Africa,Sub-Saharan Africa,Western Africa,1,0
BTN,Bhutan,Bhutan,DVG,Asia,South Asia,064,Asia,Southern Asia,NA,0,0
BOL,Bolivia (Plurinational State of),Bolivia,DVG,Latin America and the Caribbean,South America,068,Americas,Latin America and the Caribbean,South America,0,0
BIH,Bosnia and Herzegovina,Bosnia_Herz,EIT,South-Eastern Europe,NA,070,Europe,Southern Europe,NA,0,0
BWA,Botswana,Botswana,DVG,Africa,Southern Africa,072,Africa,Sub-Saharan Africa,Southern Africa,0,0
BRA,Brazil,Brazil,DVG,Latin America and the Caribbean,South America,076,Americas,Latin America and the Caribbean,South America,0,0
BRN,Brunei Darussalam,Brunei,DVG,Asia,East Asia,096,Asia,South-eastern Asia,NA,0,0
BGR,Bulgaria,Bulgaria,DVD,Europe,European Union,100,Europe,Eastern Europe,NA,0,0
BFA,Burkina Faso,Burkina_Faso,DVG,Africa,West Africa,854,Africa,Sub-Saharan Africa,Western Africa,1,1
BDI,Burundi,Burundi,DVG,Africa,East Africa,108,Africa,Sub-Saharan Africa,Eastern Africa,1,1
CPV,Cabo Verde,Cabo_Verde,DVG,Africa,West Africa,132,Africa,Sub-Saharan Africa,Western Africa,0,0
KHM,Cambodia,Cambodia,DVG,Asia,East Asia,116,Asia,South-eastern Asia,NA,1,0
CMR,Cameroon,Cameroon,DVG,Africa,Central Africa,120,Africa,Sub-Saharan Africa,Middle Africa,0,0
CAN,Canada,Canada,DVD,North America,NA,124,Americas,Northern America,NA,0,0
CAF,Central African Republic,Cen_Afr_Rep,DVG,Africa,Central Africa,140,Africa,Sub-Saharan Africa,Middle Africa,1,1
TCD,Chad,Chad,DVG,Africa,Central Africa,148,Africa,Sub-Saharan Africa,Middle Africa,1,1
CHL,Chile,Chile,DVG,Latin America and the Caribbean,South America,152,Americas,Latin America and the Caribbean,South America,0,0
CHN,China,China,DVG,Asia,East Asia,156,Asia,Eastern Asia,NA,0,0
COL,Colombia,Colombia,DVG,Latin America and the Caribbean,South America,170,Americas,Latin America and the Caribbean,South America,0,0
COM,Comoros,Comoros,DVG,Africa,East Africa,174,Africa,Sub-Saharan Africa,Eastern Africa,1,0
COG,Congo,Congo,DVG,Africa,Central Africa,178,Africa,Sub-Saharan Africa,Middle Africa,0,0
CRI,Costa Rica,Costa_Rica,DVG,Latin America and the Caribbean,Mexico and Central America,188,Americas,Latin America and the Caribbean,Central America,0,0
CIV,Côte d’Ivoire,Cote_DIvoire,DVG,Africa,West Africa,384,Africa,Sub-Saharan Africa,Western Africa,0,0
HRV,Croatia,Croatia,DVD,Europe,European Union,191,Europe,Southern Europe,NA,0,0
CUB,Cuba,Cuba,DVG,Latin America and the Caribbean,Mexico and Central America,192,Americas,Latin America and the Caribbean,Caribbean,0,0
CYP,Cyprus,Cyprus,DVD,Europe,European Union,196,Asia,Western Asia,NA,0,0
CZE,Czechia,Czech_Rep,DVD,Europe,European Union,203,Europe,Eastern Europe,NA,0,0
PRK,Democratic People's Republic of Korea,DPRK,DVG,Asia,East Asia,408,Asia,Eastern Asia,NA,0,0
COD,Democratic Republic of the Congo,DR_Congo,DVG,Africa,East Africa,180,Africa,Sub-Saharan Africa,Middle Africa,1,0
DNK,Denmark,Denmark,DVD,Europe,European Union,208,Europe,Northern Europe,NA,0,0
DJI,Djibouti,Djibouti,DVG,Africa,East Africa,262,Africa,Sub-Saharan Africa,Eastern Africa,1,0
DOM,Dominican Republic,Dominican_Rep,DVG,Latin America and the Caribbean,Mexico and Central America,214,Americas,Latin America and the Caribbean,Caribbean,0,0
ECU,Ecuador,Ecuador,DVG,Latin America and the Caribbean,South America,218,Americas,Latin America and the Caribbean,South America,0,0
EGY,Egypt,Egypt,DVG,Africa,North Africa,818,Africa,Northern Africa,NA,0,0
SLV,El Salvador,El_Salvador,DVG,Latin America and the Caribbean,Mexico and Central America,222,Americas,Latin America and the Caribbean,Central America,0,0
GNQ,Equatorial Guinea,Eq_Guinea,DVG,Africa,Central Africa,226,Africa,Sub-Saharan Africa,Middle Africa,0,0
ERI,Eritrea,Eritrea,DVG,Africa,East Africa,232,Africa,Sub-Saharan Africa,Eastern Africa,1,0
EST,Estonia,Estonia,DVD,Europe,European Union,233,Europe,Northern Europe,NA,0,0
SWZ,Eswatini,eSwatini,DVG,Africa,Southern Africa,748,Africa,Sub-Saharan Africa,Southern Africa,0,1
ETH,Ethiopia,Ethiopia,DVG,Africa,East Africa,231,Africa,Sub-Saharan Africa,Eastern Africa,1,1
FJI,Fiji,Fiji,DVG,Asia,East Asia,242,Oceania,Melanesia,NA,0,0
FIN,Finland,Finland,DVD,Europe,European Union,246,Europe,Northern Europe,NA,0,0
FRA,France,France,DVD,Europe,European Union,250,Europe,Western Europe,NA,0,0
GAB,Gabon,Gabon,DVG,Africa,Central Africa,266,Africa,Sub-Saharan Africa,Middle Africa,0,0
GMB,Gambia,Gambia,DVG,Africa,West Africa,270,Africa,Sub-Saharan Africa,Western Africa,1,0
GEO,Georgia,Georgia,EIT,Commonwealth of Independent States and Georgia,NA,268,Asia,Western Asia,NA,0,0
DEU,Germany,Germany,DVD,Europe,European Union,276,Europe,Western Europe,NA,0,0
GHA,Ghana,Ghana,DVG,Africa,West Africa,288,Africa,Sub-Saharan Africa,Western Africa,0,0
GRC,Greece,Greece,DVD,Europe,European Union,300,Europe,Southern Europe,NA,0,0
GTM,Guatemala,Guatemala,DVG,Latin America and the Caribbean,Mexico and Central America,320,Americas,Latin America and the Caribbean,Central America,0,0
GIN,Guinea,Guinea,DVG,Africa,West Africa,324,Africa,Sub-Saharan Africa,Western Africa,1,0
GNB,Guinea-Bissau,Guinea_Bissau,DVG,Africa,West Africa,624,Africa,Sub-Saharan Africa,Western Africa,1,0
GUY,Guyana,Guyana,DVG,Latin America and the Caribbean,Caribbean,328,Americas,Latin America and the Caribbean,South America,0,0
HTI,Haiti,Haiti,DVG,Latin America and the Caribbean,Mexico and Central America,332,Americas,Latin America and the Caribbean,Caribbean,1,0
HND,Honduras,Honduras,DVG,Latin America and the Caribbean,Mexico and Central America,340,Americas,Latin America and the Caribbean,Central America,0,0
HKG,Hong Kong Special Administrative Region of China,Hong_Kong,DVG,Asia,East Asia,344,Asia,Eastern Asia,NA,0,0
HUN,Hungary,Hungary,DVD,Europe,European Union,348,Europe,Eastern Europe,NA,0,0
ISL,Iceland,Iceland,DVD,Europe,Other Europe,352,Europe,Northern Europe,NA,0,0
IND,India,India,DVG,Asia,South Asia,356,Asia,Southern Asia,NA,0,0
IDN,Indonesia,Indonesia,DVG,Asia,East Asia,360,Asia,South-eastern Asia,NA,0,0
IRN,Iran (Islamic Republic of),Iran,DVG,Asia,South Asia,364,Asia,Southern Asia,NA,0,0
IRQ,Iraq,Iraq,DVG,Asia,Western Asia,368,Asia,Western Asia,NA,0,0
